userID, lvl#, ch#, selectedWord
914296157, 0, 0, hat
914296157, 0, 1, rode
914296157, 0, 2, ors
914296157, 0, 3, joe
914296157, 0, 4, loud
914296157, 0, 5, push
914296157, 0, 6, age
914296157, 0, 7, help
914296157, 0, 8, bulk
914296157, 0, 9, pro
914296157, 1, 0, lush
914296157, 1, 1, cars
914296157, 1, 2, worm
914296157, 1, 3, toy
914296157, 1, 4, tarn
914296157, 1, 5, wall
914296157, 1, 6, reap
914296157, 1, 7, bock
914296157, 1, 8, lee
914296157, 1, 9, fox
914296157, 2, 0, rig
914296157, 2, 1, iced
914296157, 2, 2, vacs
914296157, 2, 3, axed
914296157, 2, 4, fon
914296157, 2, 5, hot
914296157, 2, 6, maud
914296157, 2, 7, hot
914296157, 2, 8, rig
914296157, 3, 0, rap
914296157, 3, 1, holm
914296157, 3, 2, hop
914296157, 3, 3, celt
914296157, 3, 4, tao
2711847925, 0, 0, hat
2711847925, 0, 1, ode
2711847925, 1, 0, lis
3259246013, 0, 0, del
3259246013, 0, 1, trode
3259246013, 0, 2, sex
3259246013, 0, 3, came
3259246013, 0, 4, lied
3259246013, 0, 5, push
3259246013, 0, 6, wage
3259246013, 0, 7, pen
3259246013, 0, 8, bask
3259246013, 0, 9, pour
3259246013, 1, 0, lum
3259246013, 1, 1, pars
3259246013, 1, 2, worm
3259246013, 1, 3, mayo
3259246013, 1, 4, yarn
3259246013, 1, 5, wadi
3259246013, 1, 6, reap
3259246013, 1, 7, box
3259246013, 0, 0, del
3259246013, 0, 1, roue
780694978, 0, 0, hate
780694978, 0, 1, true
780694978, 0, 2, sex
780694978, 0, 3, camo
780694978, 0, 4, lied
780694978, 0, 5, push
780694978, 0, 6, wage
780694978, 0, 7, pen
780694978, 0, 8, bulk
780694978, 0, 9, pour
780694978, 1, 0, lush
780694978, 1, 1, pars
780694978, 1, 2, worm
780694978, 1, 3, mayo
780694978, 1, 4, yarn
780694978, 1, 5, wall
780694978, 1, 6, reap
780694978, 1, 7, book
321242642, 0, 0, hat
321242642, 0, 1, rode
321242642, 0, 2, sex
321242642, 0, 3, came
321242642, 0, 4, lied
321242642, 0, 5, push
321242642, 0, 6, wage
321242642, 0, 7, help
321242642, 0, 8, bask
321242642, 0, 9, pour
321242642, 1, 0, lums
321242642, 1, 1, pars
321242642, 1, 2, worm
321242642, 1, 3, mat
321242642, 1, 4, yarn
321242642, 1, 5, wail
321242642, 1, 6, ref
321242642, 1, 7, box
321242642, 1, 8, slew
321242642, 1, 9, fox
321242642, 2, 0, whim
321242642, 2, 1, cued
321242642, 2, 2, sacs
321242642, 2, 3, axel
321242642, 2, 4, noon
321242642, 2, 5, chow
321242642, 2, 6, bad
321242642, 2, 7, clot
321242642, 2, 8, frig
321242642, 2, 9, dyed
321242642, 3, 0, racy
321242642, 3, 1, from
321242642, 3, 2, coy
321242642, 3, 3, clot
321242642, 3, 4, mako
321242642, 3, 5, ask
321242642, 3, 6, puce
321242642, 3, 7, wand
321242642, 3, 8, ceil
321242642, 3, 9, hut
321242642, 4, 0, soy
321242642, 4, 1, kora
321242642, 4, 2, slob
321242642, 4, 3, yaws
321242642, 4, 4, keir
321242642, 4, 5, goof
321242642, 4, 6, koan
321242642, 4, 7, yin
321242642, 4, 8, coax
321242642, 4, 9, lip
321242642, 5, 0, jersey
321242642, 5, 1, verses
321242642, 5, 2, quotes
321242642, 5, 3, forgot
321242642, 5, 4, mortal
321242642, 5, 5, finery
321242642, 5, 6, famine
321242642, 5, 7, liquid
321242642, 5, 8, starch
321242642, 5, 9, center
321242642, 6, 0, opaque
321242642, 6, 1, mutter
321242642, 6, 2, aurora
321242642, 6, 3, mulled
321242642, 6, 4, eat
321242642, 6, 5, cowed
3396819360, 0, 0, hat
3396819360, 0, 1, due
3396819360, 0, 2, sex
3396819360, 0, 3, came
3396819360, 0, 4, loud
3396819360, 0, 5, push
3396819360, 0, 6, wage
3396819360, 0, 7, pen
3396819360, 0, 8, las
3396819360, 0, 9, pour
3396819360, 1, 0, lis
3396819360, 1, 1, pars
3396819360, 1, 2, worm
3396819360, 1, 3, toy
3396819360, 1, 4, yarn
3396819360, 1, 5, wail
3396819360, 1, 6, reap
3396819360, 1, 7, box
3396819360, 1, 8, sere
3396819360, 1, 9, fox
3048764831, 0, 0, hate
3048764831, 0, 1, rode
3048764831, 0, 2, bore
3048764831, 0, 3, came
3048764831, 0, 4, loud
3048764831, 0, 5, push
4086677417, 0, 0, hate
4086677417, 0, 1, toe
4086677417, 1, 0, lis
4086677417, 1, 1, cars
4086677417, 1, 2, worm
4086677417, 1, 3, may
4086677417, 1, 4, tarn
4086677417, 1, 5, ail
4086677417, 1, 6, reap
4086677417, 1, 7, book
4086677417, 1, 8, slew
4086677417, 1, 9, fox
4086677417, 2, 0, whig
4086677417, 2, 1, iced
4086677417, 2, 2, sacs
4086677417, 2, 3, axel
4086677417, 2, 4, fox
4086677417, 2, 5, dow
4086677417, 2, 6, bad
4086677417, 2, 7, hot
4086677417, 2, 8, frig
4086677417, 2, 9, dyed
3371965815, 0, 0, del
43624821, 0, 0, hate
43624821, 0, 1, true
43624821, 0, 2, bore
43624821, 0, 3, camo
43624821, 0, 4, lieu
43624821, 0, 5, push
43624821, 0, 6, wage
43624821, 0, 7, help
43624821, 0, 8, bulk
43624821, 0, 9, pour
43624821, 1, 0, lush
43624821, 1, 1, pars
43624821, 1, 2, worm
43624821, 1, 3, may
43624821, 1, 4, yarn
43624821, 1, 5, wail
43624821, 1, 6, reap
43624821, 1, 7, box
43624821, 1, 8, slew
43624821, 1, 9, fox
43624821, 2, 0, whim
43624821, 2, 1, cued
43624821, 2, 2, sacs
43624821, 2, 3, axed
43624821, 2, 4, fox
43624821, 2, 5, hot
43624821, 2, 6, baud
43624821, 2, 7, clot
43624821, 2, 8, rig
43624821, 2, 9, doc
43624821, 3, 0, racy
43624821, 3, 1, from
43624821, 3, 2, hop
43624821, 3, 3, lox
43624821, 3, 4, mako
43624821, 3, 5, ark
43624821, 3, 6, peal
43624821, 3, 7, wand
43624821, 3, 8, pis
43624821, 3, 9, tutu
43624821, 4, 0, soy
43624821, 4, 1, kora
43624821, 4, 2, slob
43624821, 4, 3, yaws
43624821, 4, 4, kir
43624821, 4, 5, goof
43624821, 4, 6, hag
43624821, 4, 0, soy
43624821, 4, 1, kora
43624821, 4, 2, slob
43624821, 4, 3, yaws
43624821, 4, 4, kir
43624821, 4, 5, goof
43624821, 4, 6, hag
43624821, 4, 7, yin
43624821, 4, 8, vox
43624821, 4, 9, dip
43624821, 5, 0, bray
43624821, 5, 1, versus
43624821, 5, 2, quotes
43624821, 5, 3, forgot
2112887512, 0, 0, hat
2112887512, 0, 1, true
2112887512, 0, 2, sex
2112887512, 0, 3, came
2112887512, 0, 4, loud
2112887512, 0, 5, push
2112887512, 0, 6, wage
2112887512, 0, 7, pen
2112887512, 1, 0, lush
2112887512, 1, 1, para
2112887512, 1, 2, cum
2112887512, 1, 3, may
2112887512, 1, 4, tarn
2112887512, 1, 5, wall
2112887512, 1, 6, reap
2112887512, 1, 7, box
2112887512, 1, 8, sere
2112887512, 1, 9, fox
1837432790, 0, 0, tel
1837432790, 0, 1, trode
1837432790, 0, 2, ore
1837432790, 0, 3, came
1837432790, 0, 4, lied
1837432790, 0, 5, put
4232839720, 0, 0, hat
4232839720, 0, 1, true
4232839720, 0, 2, bore
4232839720, 0, 3, came
4232839720, 0, 4, loud
4232839720, 0, 5, push
4232839720, 0, 6, wage
4232839720, 0, 7, help
4232839720, 0, 8, bulk
4232839720, 0, 9, pro
2393204735, 0, 0, del
2393204735, 0, 1, trode
2269659444, 0, 0, hat
2269659444, 0, 1, true
2269659444, 0, 2, bore
2269659444, 0, 3, came
2269659444, 0, 4, lied
2269659444, 0, 5, pus
2269659444, 0, 6, wage
2269659444, 0, 7, help
2269659444, 0, 8, busk
2269659444, 0, 9, pour
1414959096, 0, 0, hate
1414959096, 0, 1, trode
1414959096, 0, 2, box
1414959096, 0, 3, came
1414959096, 0, 4, lied
1414959096, 0, 5, push
1414959096, 0, 6, won
1414959096, 0, 7, pen
1414959096, 0, 8, busk
1414959096, 0, 9, pro
1904734506, 0, 0, hate
1904734506, 0, 1, true
1904734506, 0, 2, bore
1904734506, 0, 3, came
1904734506, 0, 4, loud
1904734506, 0, 5, push
1904734506, 0, 6, won
1904734506, 0, 7, pen
1904734506, 0, 8, busk
1904734506, 0, 9, pour
3315433363, 0, 0, hate
3315433363, 0, 1, true
3315433363, 0, 2, sex
3315433363, 0, 3, came
3315433363, 0, 4, loud
3315433363, 0, 5, push
3315433363, 0, 6, nag
3315433363, 0, 7, pen
3315433363, 0, 8, bask
3315433363, 0, 9, pour
3315433363, 1, 0, lush
3315433363, 1, 1, para
3315433363, 1, 2, rum
3315433363, 1, 3, toy
3315433363, 1, 4, yarn
3315433363, 1, 5, dill
3315433363, 1, 6, reap
3315433363, 1, 7, box
3315433363, 1, 8, slew
3315433363, 1, 9, fox
3315433363, 2, 0, whig
3315433363, 2, 1, cued
3315433363, 2, 2, vacs
3315433363, 2, 3, axel
3315433363, 2, 4, fox
3315433363, 2, 5, chow
3315433363, 2, 6, baud
3315433363, 2, 7, hot
3315433363, 2, 8, frig
3315433363, 2, 9, yod
3315433363, 3, 0, rap
3315433363, 3, 1, from
3315433363, 3, 2, hop
3315433363, 3, 3, lox
3315433363, 3, 0, rap
3315433363, 3, 1, from
3315433363, 3, 2, hop
3315433363, 3, 3, lox
3315433363, 3, 4, eta
3315433363, 3, 0, racy
3315433363, 3, 1, from
3315433363, 3, 2, hop
3315433363, 3, 3, lox
3315433363, 3, 4, eta
3315433363, 3, 5, ask
3315433363, 3, 6, peal
3315433363, 3, 7, wand
2733211366, 0, 0, hat
2733211366, 0, 1, due
2733211366, 0, 2, sex
2733211366, 0, 0, hat
2733211366, 0, 1, due
2733211366, 0, 2, sex
2733211366, 0, 3, joe
2733211366, 0, 4, loud
2733211366, 0, 5, push
2733211366, 0, 6, age
2733211366, 0, 7, hen
2733211366, 0, 8, busk
2733211366, 0, 9, pour
2733211366, 1, 0, lush
2733211366, 0, 0, hate
2733211366, 0, 1, true
2733211366, 0, 2, box
2733211366, 0, 3, camo
2733211366, 0, 4, loud
2733211366, 0, 5, push
2733211366, 0, 6, wage
2733211366, 0, 7, pep
2733211366, 0, 8, bulk
2733211366, 0, 9, pour
2733211366, 0, 0, hate
