userID, lvl#, isBrowser, numSolvedChallenges, totalScore, totalTime
914296157, 0, True, 10, 42, 9
914296157, 1, True, 10, 49, 8
914296157, 2, True, 9, 34, 5
914296157, 3, True, 5, 20, 4
2711847925, 0, True, 2, 6, 1
2711847925, 1, True, 1, 3, 1
3259246013, 0, True, 10, 56, 7
3259246013, 1, True, 8, 48, 7
3259246013, 0, True, 2, 11, 2
780694978, 0, True, 10, 60, 9
780694978, 1, True, 8, 48, 8
321242642, 0, True, 10, 53, 7
321242642, 1, True, 10, 55, 7
321242642, 2, True, 10, 58, 6
321242642, 3, True, 10, 48, 6
321242642, 4, True, 10, 58, 5
321242642, 5, True, 10, 84, 7
321242642, 6, True, 6, 49, 4
3396819360, 0, False, 10, 52, 7
3396819360, 1, False, 10, 55, 5
3048764831, 0, True, 6, 28, 4
4086677417, 0, True, 2, 7, 2
4086677417, 1, True, 10, 40, 6
4086677417, 2, True, 10, 53, 8
3371965815, 0, True, 1, 3, 1
43624821, 0, True, 10, 56, 7
43624821, 1, True, 10, 56, 7
43624821, 2, True, 10, 50, 6
43624821, 3, True, 10, 50, 7
43624821, 4, True, 7, 36, 4
43624821, 4, True, 10, 54, 6
43624821, 5, True, 4, 28, 2
2112887512, 0, True, 8, 43, 7
2112887512, 1, True, 10, 58, 9
1837432790, 0, True, 6, 26, 5
4232839720, 0, True, 10, 53, 8
2393204735, 0, True, 2, 8, 1
2269659444, 0, True, 10, 54, 8
2269659444, 1, True, 0, 0, 0
1414959096, 0, True, 10, 54, 7
1904734506, 0, True, 10, 57, 5
3315433363, 0, False, 10, 59, 6
3315433363, 1, False, 10, 50, 4
3315433363, 2, False, 10, 59, 7
3315433363, 3, False, 4, 19, 4
3315433363, 3, False, 5, 22, 4
3315433363, 3, False, 8, 38, 6
2733211366, 0, True, 3, 15, 2
2733211366, 0, True, 10, 48, 5
2733211366, 1, True, 1, 8, 1
2733211366, 0, True, 10, 60, 10
2733211366, 0, True, 9, 52, 6
2733211366, 0, True, 1, 3, 1
2733211366, 0, True, 10, 58, 6
2733211366, 0, True, 9, 47, 6
2733211366, 0, True, 5, 18, 5
2733211366, 0, True, 8, 43, 8
2733211366, 1, True, 10, 45, 8
2707937469, 0, True, 10, 54, 8
2707937469, 1, True, 10, 50, 8
2707937469, 2, True, 10, 57, 8
2707937469, 3, True, 8, 38, 6
2707937469, 3, True, 8, 35, 4
2707937469, 3, True, 10, 52, 8
2707937469, 4, True, 1, 6, 1
2707937469, 4, True, 10, 53, 6
2707937469, 5, True, 10, 84, 8
831382614, 6, False, 6, 39, 3
831382614, 6, False, 10, 64, 9
831382614, 7, False, 10, 50, 5
2541524530, 0, True, 2, 11, 1
2541524530, 0, True, 2, 11, 1
1731319018, 0, True, 10, 57, 8
1731319018, 1, True, 10, 55, 9
2433857829, 0, True, 10, 58, 6
2433857829, 1, True, 8, 49, 5
2894640137, 0, True, 10, 57, 6
2894640137, 1, True, 10, 60, 7
2894640137, 2, True, 9, 48, 5
3052871512, 0, True, 8, 39, 6
3052871512, 1, True, 10, 60, 7
3052871512, 2, True, 2, 11, 1
3052871512, 0, True, 10, 55, 5
3052871512, 0, True, 8, 40, 7
3052871512, 1, True, 10, 52, 8
3052871512, 2, True, 10, 59, 5
3052871512, 3, True, 5, 22, 5
3052871512, 4, True, 1, 6, 1
3052871512, 0, True, 5, 18, 3
3052871512, 0, True, 2, 6, 2
3052871512, 0, True, 10, 59, 6
3052871512, 1, True, 8, 45, 6
3052871512, 1, True, 10, 52, 10
3052871512, 2, True, 4, 20, 4
3052871512, 2, True, 10, 57, 5
3052871512, 3, True, 5, 23, 5
3052871512, 0, True, 10, 55, 9
3052871512, 1, True, 8, 43, 7
3052871512, 0, True, 10, 58, 5
3052871512, 1, True, 0, 0, 0
3052871512, 1, True, 3, 24, 2
3052871512, 1, True, 10, 60, 5
3052871512, 2, True, 9, 52, 6
3052871512, 2, True, 10, 62, 9
3052871512, 2, True, 10, 62, 10
3052871512, 3, True, 10, 56, 8
